validation_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
1049.1737060546875,1729243513,,False,1,9b5cf_00014,2024-10-18_17-25-13,99.97938919067383,99.97938919067383,581802,gilberthan-WD12,192.168.1.100,99.97938919067383,1
999.9703369140625,1729243611,,False,2,9b5cf_00014,2024-10-18_17-26-51,97.8265233039856,197.80591249465942,581802,gilberthan-WD12,192.168.1.100,197.80591249465942,2
978.8334350585938,1729243708,,False,3,9b5cf_00014,2024-10-18_17-28-28,96.96119689941406,294.7671093940735,581802,gilberthan-WD12,192.168.1.100,294.7671093940735,3
968.5916137695312,1729243806,,False,4,9b5cf_00014,2024-10-18_17-30-06,98.57124900817871,393.3383584022522,581802,gilberthan-WD12,192.168.1.100,393.3383584022522,4
959.2772827148438,1729243907,,False,5,9b5cf_00014,2024-10-18_17-31-47,100.78049826622009,494.1188566684723,581802,gilberthan-WD12,192.168.1.100,494.1188566684723,5
954.458251953125,1729244007,,False,6,9b5cf_00014,2024-10-18_17-33-27,99.43954491615295,593.5584015846252,581802,gilberthan-WD12,192.168.1.100,593.5584015846252,6
951.8518676757812,1729244108,,False,7,9b5cf_00014,2024-10-18_17-35-08,100.98610758781433,694.5445091724396,581802,gilberthan-WD12,192.168.1.100,694.5445091724396,7
946.2333374023438,1729244206,,False,8,9b5cf_00014,2024-10-18_17-36-46,98.49811792373657,793.0426270961761,581802,gilberthan-WD12,192.168.1.100,793.0426270961761,8
945.0370483398438,1729244311,,False,9,9b5cf_00014,2024-10-18_17-38-31,105.31678438186646,898.3594114780426,581802,gilberthan-WD12,192.168.1.100,898.3594114780426,9
940.610595703125,1729244407,,False,10,9b5cf_00014,2024-10-18_17-40-07,95.63650345802307,993.9959149360657,581802,gilberthan-WD12,192.168.1.100,993.9959149360657,10
940.0535888671875,1729244495,,False,11,9b5cf_00014,2024-10-18_17-41-35,87.89062285423279,1081.8865377902985,581802,gilberthan-WD12,192.168.1.100,1081.8865377902985,11
936.1871337890625,1729244575,,False,12,9b5cf_00014,2024-10-18_17-42-55,80.46487712860107,1162.3514149188995,581802,gilberthan-WD12,192.168.1.100,1162.3514149188995,12
935.4568481445312,1729244664,,False,13,9b5cf_00014,2024-10-18_17-44-24,88.32648777961731,1250.6779026985168,581802,gilberthan-WD12,192.168.1.100,1250.6779026985168,13
935.8098754882812,1729244744,,False,14,9b5cf_00014,2024-10-18_17-45-44,80.22829079627991,1330.9061934947968,581802,gilberthan-WD12,192.168.1.100,1330.9061934947968,14
936.586669921875,1729244823,,False,15,9b5cf_00014,2024-10-18_17-47-03,78.70149493217468,1409.6076884269714,581802,gilberthan-WD12,192.168.1.100,1409.6076884269714,15
932.531005859375,1729244902,,False,16,9b5cf_00014,2024-10-18_17-48-22,79.05526828765869,1488.6629567146301,581802,gilberthan-WD12,192.168.1.100,1488.6629567146301,16
933.50927734375,1729244986,,False,17,9b5cf_00014,2024-10-18_17-49-46,84.24384140968323,1572.9067981243134,581802,gilberthan-WD12,192.168.1.100,1572.9067981243134,17
936.0396728515625,1729245048,,False,18,9b5cf_00014,2024-10-18_17-50-48,62.329986333847046,1635.2367844581604,581802,gilberthan-WD12,192.168.1.100,1635.2367844581604,18
931.3316650390625,1729245118,,False,19,9b5cf_00014,2024-10-18_17-51-58,69.44991946220398,1704.6867039203644,581802,gilberthan-WD12,192.168.1.100,1704.6867039203644,19
930.8458251953125,1729245195,,False,20,9b5cf_00014,2024-10-18_17-53-15,77.46334075927734,1782.1500446796417,581802,gilberthan-WD12,192.168.1.100,1782.1500446796417,20
930.2206420898438,1729245268,,False,21,9b5cf_00014,2024-10-18_17-54-28,72.3257257938385,1854.4757704734802,581802,gilberthan-WD12,192.168.1.100,1854.4757704734802,21
931.627197265625,1729245338,,False,22,9b5cf_00014,2024-10-18_17-55-38,70.75966477394104,1925.2354352474213,581802,gilberthan-WD12,192.168.1.100,1925.2354352474213,22
929.8034057617188,1729245407,,False,23,9b5cf_00014,2024-10-18_17-56-47,68.78603959083557,1994.0214748382568,581802,gilberthan-WD12,192.168.1.100,1994.0214748382568,23
929.3995971679688,1729245473,,False,24,9b5cf_00014,2024-10-18_17-57-53,65.92443633079529,2059.945911169052,581802,gilberthan-WD12,192.168.1.100,2059.945911169052,24
928.4014892578125,1729245545,,False,25,9b5cf_00014,2024-10-18_17-59-05,71.58627247810364,2131.5321836471558,581802,gilberthan-WD12,192.168.1.100,2131.5321836471558,25
927.7376708984375,1729245620,,False,26,9b5cf_00014,2024-10-18_18-00-20,75.74958539009094,2207.2817690372467,581802,gilberthan-WD12,192.168.1.100,2207.2817690372467,26
929.0568237304688,1729245692,,False,27,9b5cf_00014,2024-10-18_18-01-32,71.43419551849365,2278.7159645557404,581802,gilberthan-WD12,192.168.1.100,2278.7159645557404,27
