validation_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
996.1485595703125,1729241898,,False,1,42ce5ae2,2024-10-18_16-58-18,25.14301061630249,25.14301061630249,569140,gilberthan-WD12,192.168.1.100,25.14301061630249,1
967.146484375,1729241923,,False,2,42ce5ae2,2024-10-18_16-58-43,25.10910964012146,50.25212025642395,569140,gilberthan-WD12,192.168.1.100,50.25212025642395,2
955.2151489257812,1729241948,,False,3,42ce5ae2,2024-10-18_16-59-08,25.192471981048584,75.44459223747253,569140,gilberthan-WD12,192.168.1.100,75.44459223747253,3
945.2353515625,1729241973,,False,4,42ce5ae2,2024-10-18_16-59-33,25.03032660484314,100.47491884231567,569140,gilberthan-WD12,192.168.1.100,100.47491884231567,4
939.4166870117188,1729241998,,False,5,42ce5ae2,2024-10-18_16-59-58,25.15943741798401,125.63435626029968,569140,gilberthan-WD12,192.168.1.100,125.63435626029968,5
935.0669555664062,1729242023,,False,6,42ce5ae2,2024-10-18_17-00-23,24.618286848068237,150.25264310836792,569140,gilberthan-WD12,192.168.1.100,150.25264310836792,6
930.2860717773438,1729242048,,False,7,42ce5ae2,2024-10-18_17-00-48,24.99376678466797,175.2464098930359,569140,gilberthan-WD12,192.168.1.100,175.2464098930359,7
927.7813110351562,1729242073,,False,8,42ce5ae2,2024-10-18_17-01-13,25.053399324417114,200.299809217453,569140,gilberthan-WD12,192.168.1.100,200.299809217453,8
925.3634643554688,1729242098,,False,9,42ce5ae2,2024-10-18_17-01-38,25.281308889389038,225.58111810684204,569140,gilberthan-WD12,192.168.1.100,225.58111810684204,9
921.9927978515625,1729242123,,False,10,42ce5ae2,2024-10-18_17-02-03,24.337315559387207,249.91843366622925,569140,gilberthan-WD12,192.168.1.100,249.91843366622925,10
920.653076171875,1729242147,,False,11,42ce5ae2,2024-10-18_17-02-27,24.482263803482056,274.4006974697113,569140,gilberthan-WD12,192.168.1.100,274.4006974697113,11
918.764892578125,1729242172,,False,12,42ce5ae2,2024-10-18_17-02-52,24.621909618377686,299.022607088089,569140,gilberthan-WD12,192.168.1.100,299.022607088089,12
918.5521850585938,1729242197,,False,13,42ce5ae2,2024-10-18_17-03-17,25.46448254585266,324.48708963394165,569140,gilberthan-WD12,192.168.1.100,324.48708963394165,13
916.94384765625,1729242223,,False,14,42ce5ae2,2024-10-18_17-03-43,25.700565338134766,350.1876549720764,569140,gilberthan-WD12,192.168.1.100,350.1876549720764,14
915.6975708007812,1729242248,,False,15,42ce5ae2,2024-10-18_17-04-08,25.11580753326416,375.3034625053406,569140,gilberthan-WD12,192.168.1.100,375.3034625053406,15
915.033203125,1729242273,,False,16,42ce5ae2,2024-10-18_17-04-33,24.89128589630127,400.19474840164185,569140,gilberthan-WD12,192.168.1.100,400.19474840164185,16
915.3126220703125,1729242298,,False,17,42ce5ae2,2024-10-18_17-04-58,25.611466884613037,425.8062152862549,569140,gilberthan-WD12,192.168.1.100,425.8062152862549,17
914.3783569335938,1729242324,,False,18,42ce5ae2,2024-10-18_17-05-24,25.538133144378662,451.34434843063354,569140,gilberthan-WD12,192.168.1.100,451.34434843063354,18
913.4337768554688,1729242349,,False,19,42ce5ae2,2024-10-18_17-05-49,24.95957374572754,476.3039221763611,569140,gilberthan-WD12,192.168.1.100,476.3039221763611,19
912.85400390625,1729242374,,False,20,42ce5ae2,2024-10-18_17-06-14,24.907265424728394,501.2111876010895,569140,gilberthan-WD12,192.168.1.100,501.2111876010895,20
914.4354858398438,1729242399,,False,21,42ce5ae2,2024-10-18_17-06-39,25.33738899230957,526.548576593399,569140,gilberthan-WD12,192.168.1.100,526.548576593399,21
912.4461059570312,1729242425,,False,22,42ce5ae2,2024-10-18_17-07-05,25.306084394454956,551.854660987854,569140,gilberthan-WD12,192.168.1.100,551.854660987854,22
912.3287963867188,1729242449,,False,23,42ce5ae2,2024-10-18_17-07-29,24.78413701057434,576.6387979984283,569140,gilberthan-WD12,192.168.1.100,576.6387979984283,23
912.6582641601562,1729242474,,False,24,42ce5ae2,2024-10-18_17-07-54,24.183612823486328,600.8224108219147,569140,gilberthan-WD12,192.168.1.100,600.8224108219147,24
911.5784912109375,1729242498,,False,25,42ce5ae2,2024-10-18_17-08-18,24.9537410736084,625.7761518955231,569140,gilberthan-WD12,192.168.1.100,625.7761518955231,25
912.2028198242188,1729242524,,False,26,42ce5ae2,2024-10-18_17-08-44,25.17270040512085,650.9488523006439,569140,gilberthan-WD12,192.168.1.100,650.9488523006439,26
911.0578002929688,1729242549,,False,27,42ce5ae2,2024-10-18_17-09-09,25.423062086105347,676.3719143867493,569140,gilberthan-WD12,192.168.1.100,676.3719143867493,27
911.8048706054688,1729242574,,False,28,42ce5ae2,2024-10-18_17-09-34,24.949523210525513,701.3214375972748,569140,gilberthan-WD12,192.168.1.100,701.3214375972748,28
910.536376953125,1729242599,,False,29,42ce5ae2,2024-10-18_17-09-59,24.554184675216675,725.8756222724915,569140,gilberthan-WD12,192.168.1.100,725.8756222724915,29
911.5131225585938,1729242624,,False,30,42ce5ae2,2024-10-18_17-10-24,25.331037521362305,751.2066597938538,569140,gilberthan-WD12,192.168.1.100,751.2066597938538,30
910.49755859375,1729242649,,False,31,42ce5ae2,2024-10-18_17-10-49,24.720196962356567,775.9268567562103,569140,gilberthan-WD12,192.168.1.100,775.9268567562103,31
910.259033203125,1729242673,,False,32,42ce5ae2,2024-10-18_17-11-13,24.6439950466156,800.5708518028259,569140,gilberthan-WD12,192.168.1.100,800.5708518028259,32
910.0905151367188,1729242699,,False,33,42ce5ae2,2024-10-18_17-11-39,25.388792514801025,825.959644317627,569140,gilberthan-WD12,192.168.1.100,825.959644317627,33
910.9574584960938,1729242724,,False,34,42ce5ae2,2024-10-18_17-12-04,25.448437690734863,851.4080820083618,569140,gilberthan-WD12,192.168.1.100,851.4080820083618,34
910.2086181640625,1729242749,,False,35,42ce5ae2,2024-10-18_17-12-29,25.00705099105835,876.4151329994202,569140,gilberthan-WD12,192.168.1.100,876.4151329994202,35
909.3753662109375,1729242772,,False,36,42ce5ae2,2024-10-18_17-12-52,23.11380386352539,899.5289368629456,569140,gilberthan-WD12,192.168.1.100,899.5289368629456,36
909.5383911132812,1729242795,,False,37,42ce5ae2,2024-10-18_17-13-15,23.194995641708374,922.7239325046539,569140,gilberthan-WD12,192.168.1.100,922.7239325046539,37
910.0706176757812,1729242817,,False,38,42ce5ae2,2024-10-18_17-13-37,21.841097593307495,944.5650300979614,569140,gilberthan-WD12,192.168.1.100,944.5650300979614,38
910.2796630859375,1729242839,,False,39,42ce5ae2,2024-10-18_17-13-59,21.644477605819702,966.2095077037811,569140,gilberthan-WD12,192.168.1.100,966.2095077037811,39
910.0184326171875,1729242861,,False,40,42ce5ae2,2024-10-18_17-14-21,22.145076751708984,988.3545844554901,569140,gilberthan-WD12,192.168.1.100,988.3545844554901,40
